City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
170,Husavik,IS,2022-04-01 00:14:54,66.0449,-17.3389,273.42,98,100,1.23
171,Orange Cove,US,2022-04-01 00:13:40,36.6244,-119.3137,294.04,53,94,1.93
172,Boyolangu,ID,2022-04-01 00:14:55,-8.1181,111.8935,298.9,83,47,0.81
173,Tura,IN,2022-04-01 00:14:55,25.5198,90.2201,293.23,94,35,1.93
174,Aripuana,BR,2022-04-01 00:14:56,-9.1667,-60.6333,295.83,97,62,0.73
175,Georgetown,MY,2022-04-01 00:14:56,5.4112,100.3354,298.11,94,20,0.0
176,Chokurdakh,RU,2022-04-01 00:14:56,70.6333,147.9167,246.88,98,98,1.4
177,Victoria,HK,2022-04-01 00:11:22,22.2855,114.1577,293.36,90,100,5.81
178,Manokwari,ID,2022-04-01 00:10:10,-0.8667,134.0833,300.0,75,100,1.0
179,Arraial Do Cabo,BR,2022-04-01 00:14:57,-22.9661,-42.0278,297.79,88,35,4.23
180,Bengkulu,ID,2022-04-01 00:14:58,-3.8004,102.2655,297.02,77,92,1.37
181,Kodiak,US,2022-04-01 00:14:58,57.79,-152.4072,277.88,93,100,9.77
182,Bluff,NZ,2022-04-01 00:14:58,-46.6,168.3333,284.53,53,96,4.03
183,Vila Velha,BR,2022-04-01 00:14:59,-20.3297,-40.2925,300.12,87,75,1.54
184,Boa Viagem,BR,2022-04-01 00:10:12,-5.1275,-39.7322,295.49,92,100,0.99
185,Gumdag,TM,2022-04-01 00:14:59,39.2061,54.5906,285.02,52,5,3.59
186,Tuktoyaktuk,CA,2022-04-01 00:10:13,69.4541,-133.0374,248.14,93,100,3.07
187,Jamestown,US,2022-04-01 00:15:00,42.097,-79.2353,278.72,66,100,8.75
188,Hithadhoo,MV,2022-04-01 00:15:00,-0.6,73.0833,301.09,70,12,2.39
189,Ponta Do Sol,PT,2022-04-01 00:15:00,32.6667,-17.1,290.21,81,71,2.01
190,Namatanai,PG,2022-04-01 00:16:01,-3.6667,152.4333,302.48,70,85,4.52
191,Longyearbyen,SJ,2022-04-01 00:16:01,78.2186,15.6401,260.06,66,75,7.2
192,Kiruna,SE,2022-04-01 00:16:01,67.8557,20.2251,261.66,73,100,3.09
193,Thompson,CA,2022-04-01 00:12:12,55.7435,-97.8558,273.49,88,100,2.22
194,Tonota,BW,2022-04-01 00:16:02,-21.4833,27.4833,290.91,52,0,2.75
195,Asuncion,PY,2022-04-01 00:11:09,-25.3007,-57.6359,289.84,48,0,7.2
196,Khatanga,RU,2022-04-01 00:16:03,71.9667,102.5,256.13,99,89,2.54
197,Avarua,CK,2022-04-01 00:16:04,-21.2078,-159.775,302.18,79,5,3.6
198,Walvis Bay,NA,2022-04-01 00:16:04,-22.9575,14.5053,289.68,82,0,4.12
199,Constitucion,CL,2022-04-01 00:16:04,-35.3333,-72.4167,286.52,67,0,5.35
200,Bati,ET,2022-04-01 00:16:05,11.1833,40.0167,289.87,39,2,2.53
201,Port Macquarie,AU,2022-04-01 00:16:05,-31.4333,152.9167,295.31,71,81,7.71
202,Saldanha,ZA,2022-04-01 00:16:06,-33.0117,17.9442,289.49,78,1,8.83
203,Kavieng,PG,2022-04-01 00:16:06,-2.5744,150.7967,301.41,75,95,3.24
204,Sur,OM,2022-04-01 00:16:06,22.5667,59.5289,300.52,38,0,2.36
205,Moree,AU,2022-04-01 00:16:07,-29.4667,149.85,296.16,43,1,4.12
206,Tasiilaq,GL,2022-04-01 00:16:07,65.6145,-37.6368,273.24,97,100,2.7
207,Ler,SS,2022-04-01 00:16:07,8.3018,30.1418,302.74,27,0,2.09
208,Zhezkazgan,KZ,2022-04-01 00:16:08,47.8043,67.7144,278.07,60,100,2.43
209,San Patricio,US,2022-04-01 00:16:08,28.017,-97.5169,298.25,51,16,6.43
210,Harper,LR,2022-04-01 00:16:08,4.375,-7.7169,299.69,87,37,2.27
211,Istra,RU,2022-04-01 00:16:09,55.9178,36.8642,273.34,97,100,2.11
212,Geraldton,AU,2022-04-01 00:16:09,-28.7667,114.6,297.38,78,100,7.72
213,Gandajika,CD,2022-04-01 00:16:10,-6.75,23.95,292.79,96,74,1.72
214,Gedo,ET,2022-04-01 00:16:10,9.0167,37.45,289.08,35,64,1.53
215,Ewo,CG,2022-04-01 00:16:10,-0.8725,14.8206,297.95,74,98,0.86
216,Kindu,CD,2022-04-01 00:16:11,-2.95,25.95,293.27,97,95,1.01
217,Sola,VU,2022-04-01 00:16:11,-13.8833,167.55,301.08,76,87,5.97
218,Kargopol,RU,2022-04-01 00:16:11,61.5071,38.9456,257.71,99,49,1.17
219,Bardiyah,LY,2022-04-01 00:16:12,31.7561,25.0865,293.14,30,55,6.29
220,Ancud,CL,2022-04-01 00:16:12,-41.8697,-73.8203,283.72,82,99,0.19
221,Carnarvon,AU,2022-04-01 00:16:13,-24.8667,113.6333,295.19,100,100,8.23
222,Dergachi,RU,2022-04-01 00:16:13,51.2328,48.7659,276.57,87,93,4.4
223,Sao Joao Da Barra,BR,2022-04-01 00:16:13,-21.6403,-41.0511,297.54,89,13,4.19
224,Camopi,GF,2022-04-01 00:16:14,3.1655,-52.3158,295.25,99,100,0.8
225,Dikson,RU,2022-04-01 00:16:14,73.5069,80.5464,255.46,96,16,3.83
226,Mahebourg,MU,2022-04-01 00:16:14,-20.4081,57.7,298.85,88,75,8.23
227,Te Anau,NZ,2022-04-01 00:16:15,-45.4167,167.7167,285.27,64,99,1.02
228,Solnechnyy,RU,2022-04-01 00:16:15,50.7214,136.6319,268.9,67,100,3.06
